GEODB_OID,OBJECTID,PRORAGIS_I,PARK_ID,PARK_NAME,ADDRESS,CITY_MUNIC,COUNTY,STATE,STREET_NUM,STREET_NAM,STREET_TYP,ZIP_CODE,REFERENCE,REFERENCE_,PARK_ACRES,ACRE_SOURC,YEAR_OPEN,PARK_STATU,STATUS_COM,DEVELOPMEN,PARK_TYPE,SERVICE_AR,COUNCIL_DI,COUNCIL_00,MANAGEMENT,LAND_OWNER,LANDOWNER_,MANAGING_A,MANAGING00,UNIT,MODIFIED_B,MODIFIED_D,SHAPE_AREA,SHAPE_LEN
44,44,286,402,Wunneburger Park,"11901 Old San Antonio Rd., Austin, Texas 78652",Austin,Travis,TX,11901,Old San Antonio,Rd.,78652,Other,Street Address,23.51482153,GIS Value,2014,Open,Undeveloped,Undeveloped,Special,0-25 miles,0,Citywide,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,1024301.529,6286.121915
45,45,280,307,Walsh Boat Landing,"1600 Scenic Dr., Austin, Texas 78703",Austin,Travis,TX,1600,Scenic,Dr,78703,Other,Street Address,3.92369047,GIS Value,1954,Open,Developed,Developed,Special,0-25 miles,10,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,170915.2732,2780.823207
46,46,269,410,Vic Mathias Shores at Town Lake Metro Park,"700 W Riverside Dr., Austin, Texas 78704",Austin,Travis,TX,700,W Riverside,Dr.,78704,Other,Street Address,5.76681669,GIS Value,2000,Open,Developed,Developed,Metropolitan,0-25 miles,9,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,251209.8532,1934.989207
48,48,272,412,Stratford Overlook Greenbelt,"3006 Stratford Dr., Austin, Texas 78746",Austin,Travis,TX,3006,Stratford,Dr.,78746,Other,Street Address,0.10108542,GIS Value,2011,Open,Undeveloped,Undeveloped,Greenbelt,0-5 miles,8,1;2;3;4;5;7;8;9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,4403.263454,420.6721055
49,49,274,304,Waller Creek Greenbelt,"703 E 6th St., Austin, Texas 78701",Austin,Travis,TX,703,E 6th,St,78701,Other,Street Address,4.25945033,GIS Value,1999,Open,Developed,Developed,Greenbelt,0-5 miles,1;9,1;2;3;4;5;7;8;9;10,Corridor,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,185540.9143,5347.740126
50,50,275,324,Zilker Metro Park,"2100 Barton Springs Rd., Austin, Texas 78746",Austin,Travis,TX,2100,Barton Springs,Rd,78746,Other,Street Address,307.8490662,GIS Value,1997,Open,Undeveloped,Developed,Metropolitan,0-100 miles,5;8,Citywide,Mixed-use Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,13409851.68,23619.69699
52,52,278,306,Walnut Creek Metro Park,"12138 N Lamar Blvd, Austin, Texas 78758",Austin,Travis,TX,12138,N Lamar,Blvd,78758,Other,Street Address,290.5205134,GIS Value,1988,Open,Developed,Developed,Metropolitan,0-25 miles,7,Citywide,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,12655022.94,16105.12674
47,47,270,300,Waller Beach at Town Lake Metro Park,"30 East Ave., Austin, Texas 78701",Austin,Travis,TX,30,East,Ave,78701,Other,Street Address,28.3916353,GIS Value,1993,Open,Developed,Developed,Metropolitan,0-25 miles,9,Citywide,Mixed-use Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,1236734.687,14985.42277
53,53,279,350,Walnut Creek Sports Park,"7800 Johnny Morris Rd., Austin, Texas 78724",Austin,Travis,TX,7800,Johhny Morris,Rd,78724,Other,Street Address,227.9681198,GIS Value,1995,Open_Fee,Tennis Fee/Planned,Developed,Special,0-25 miles,1,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,9930251.577,17400.13933
54,54,116,208,Millennium Center,"1156 Hargrave St., Austin, Texas 78702",Austin,Travis,TX,1156,Hargrave,St.,78702,Other,Street Address,5.31741344,GIS Value,1998,Open,Undeveloped,Developed,Special,0-25 miles,1,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,231531.8326,1940.218801
1,1,254,312,West Bouldin Creek Greenbelt,"1200 S 6th St., Austin, Texas 78704",Austin,Travis,TX,1200,S 6th,St,78704,Other,Street Address,16.86731362,GIS Value,1997,Open,Undeveloped,Developed,Greenbelt,0-5 miles,9,1;2;3;4;5;7;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,734737.2425,5457.798683
22,22,207,260,Roy G. Guerrero Colorado River Metro Park,"400 Grove Blvd., Austin, Texas 78741",Austin,Travis,TX,400,Grove,Blvd,78741,Other,Street Address,399.4665827,GIS Value,1986,Open,Developed,Developed,Metropolitan,0-25 miles,3,Citywide,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,17400614.17,28412.32119
2,2,171,214,Mountain View Neighborhood Park,"9000 Middlebie Rd., Austin, Texas 78750",Austin,Travis,TX,9000,Middlebie,Rd.,78750,Other,Street Address,8.27796311,GIS Value,1997,Open,Developed,Developed,Neighborhood,0-5 miles,6,6;7;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,360586.6309,2910.708284
3,3,138,217,Norman School Park,"3901 Tannehill Ln., Austin, Texas 78721",Austin,Travis,TX,3901,Tannehill,Ln.,78721,Other,Street Address,7.08904959,GIS Value,1975,Open,Developed,Developed,School,0-5 miles,1,1;2;3;4;5;7;9;10,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,308797.7651,2981.252775
4,4,188,218,North Cat Mountain Greenbelt,"6801 Cat Creek Trl., Austin, Texas 78731",Austin,Travis,TX,6801,Cat Creek,Trl,78731,Other,Street Address,30.71661354,GIS Value,1986,Open_Restricted,Undeveloped,Undeveloped,Greenbelt,0-5 miles,10,4;6;7;8;9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,1338010.334,18109.75254
5,5,104,388,Heritage Oaks Neighborhood Park,"2100 Parker Ln., Austin, Texas 78741",Austin,Travis,TX,2100,Parker,Ln,78741,Other,Street Address,3.53193169,GIS Value,2011,Open,Planned,Undeveloped,Neighborhood,0-5 miles,9,1;2;3;5;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,153850.3291,1921.917979
6,6,237,281,St. John's Pocket Park,"889 Wilks Ave., Austin, Texas 78752",Austin,Travis,TX,889,Wilks,Ave,78752,Other,Street Address,0.86356904,GIS Value,1964,Open,Developed,Developed,Pocket,0-0.5 miles,4,4,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,37616.9169,778.758053
7,7,241,310,Wells Creek Greenbelt,"13120 Metric Blvd., Austin, Texas 78727",Austin,Travis,TX,13120,Metric,Blvd,78727,Other,Street Address,9.24365862,GIS Value,1991,Open_Restricted,Undeveloped,Undeveloped,Greenbelt,0-5 miles,7,1;4;6;7;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,402652.159,4067.579287
8,8,110,178,Hill School Park,"8405 Tallwood Dr., Austin, Texas 78759",Austin,Travis,TX,8405,Tallwood,Dr.,78759,Other,Street Address,4.70107593,GIS Value,1975,Open,Developed,Developed,School,0-5 miles,10,1;4;6;7;9;10,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,204778.0486,2600.864046
27,27,1601,417,Maggie Boatright Area of the Bull Creek Greenbelt,"6958 Spicewood Springs Rd., Austin, Texas 78759",Austin LTD,Travis,TX,6958,Spicewood Springs,Rd.,78759,Other,Street Address,8.99115991,GIS Value,1996,Open,Cabin and Trail,Developed,Greenbelt,0-5 miles,,,Corridor,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,391722.5079,5485.727814
9,9,180,276,Springbrook Driving Range,"1800 Picadilly Rd., Pflugerville, Texas 78664",Pflugerville,Travis,TX,1800,Picadilly,Rd,78664,Other,Street Address,53.57897418,GIS Value,1988,Open_Fee,Golf Fee/Leased Out,Developed,Special,0-25 miles,0,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,2333890.78,9523.031785
10,10,86,361,Hartford Planting Strip,"2516 Hartford Rd., Austin, Texas 78703",Austin,Travis,TX,2516,Hartford,Rd.,78703,Other,Street Address,1.72721253,GIS Value,1969,Closed,Cemetery,Developed,Planting Strips/Triangles,0-0.5 miles,9,9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,75237.07705,2337.364244
11,11,258,360,The Circle ROW Greenbelt,"1300 The Circle, Austin, Texas 78704",Austin,Travis,TX,1300,The Circle,,78704,Other,Street Address,1.20806081,GIS Value,2008,Open,Developed,Developed,Greenbelt,0-5 miles,9,1;2;3;4;5;7;8;9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,52622.91834,1314.830666
12,12,256,365,Triangle Commons Neighborhood Park,"722 W 46th St., Austin, Texas 78751",Austin,Travis,TX,722,W 46th,St,78751,Other,Street Address,6.0218528,GIS Value,2005,Open,Undeveloped,Developed,Neighborhood,0-5 miles,9,1;3;4;5;7;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,262268.1719,4186.714538
13,13,245,272,South Austin Senior Activity Center,"3911 Manchaca Rd., Austin, Texas 78704",Austin,Travis,TX,3911,Manchaca,Rd,78704,Other,Street Address,4.52988616,GIS Value,2001,Open,Developed,Developed,Special,0-25 miles,5,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,197321.0517,2072.316949
28,28,101,381,Heath Eiland and Morgan Moss BMX Skate Park,"1213 Shoal Creek Blvd., Austin, Texas 78701",Austin,Travis,TX,1213,Shoal Creek,Blvd.,78701,Other,Street Address,1.55637564,GIS Value,1931,Open,Undeveloped,Developed,Special,0-25 miles,9,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,67795.45151,1137.439507
14,14,253,288,Tanglewood Neighborhood Park,"11409 Rustic Rock Rd., Austin, Texas 78750",Austin,Travis,TX,11409,Rustic Rock,Rd,78750,Other,Street Address,14.12046488,GIS Value,1944,Open,Developed,Developed,Neighborhood,0-5 miles,6,4;6;7;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,615084.99,4096.403699
15,15,200,396,Plummers Cemetery,"1150 Blk of Springdale Rd., Austin, Texas 78721",Austin,Travis,TX,1150,Springdale,Rd,78721,Other,Street Address,7.12815852,GIS Value,1962,Open_Restricted,Cemetery,Developed,Cemetery,0-25 miles,1,Citywide,Special Use Area,City of Austin,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,310501.343,2773.636507
16,16,140,398,Oertli Neighborhood Park,"12613 Blaine Rd., Austin, Texas 78753",Austin,Travis,TX,12613,Blaine,Rd.,78753,Other,Street Address,6.13351119,GIS Value,2013,Planned,Undeveloped,Undeveloped,Neighborhood,0-5 miles,7,1;4;6;7,Passive Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,267188.2814,2404.916487
17,17,122,171,Grand Meadow Neighborhood Park,"8022 Thaxton Dr., Austin, Texas 78747",Austin,Travis,TX,8022,Thaxton,Dr.,78747,Other,Street Address,9.99401021,GIS Value,1988,Open,Undeveloped,Undeveloped,Neighborhood,0-5 miles,2,2;3;5;9,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,435337.3435,2627.217982
74,74,16,123,Blunn Creek Nature Preserve,"1200 St. Edwards Dr., Austin, Texas 78704",Austin,Travis,TX,1200,St. Edwards,Dr.,78704,Other,Street Address,38.80567647,GIS Value,1982,Open,Cemetery,Developed,Nature Preserve,0-25 miles,9,Citywide,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,1690368.506,6172.510552
18,18,147,194,Little Stacy Neighborhood Park,"1500 Alameda Dr., Austin, Texas 78704",Austin,Travis,TX,1500,Alameda,Dr.,78704,Other,Street Address,6.86158307,GIS Value,1929,Open,Undeveloped,Developed,Neighborhood,0-5 miles,9,1;2;3;4;5;7;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,298889.363,3652.510036
19,19,205,226,Oakview Neighborhood Park,"10902 Oak View Dr., Austin, Texas 78759",Austin,Travis,TX,10902,Oak View,Dr.,78759,Other,Street Address,6.97521809,GIS Value,1981,Open,Undeveloped,Developed,Neighborhood,0-5 miles,10,4;6;7;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,303839.2845,2237.532847
20,20,204,346,Piney Bend Neighborhood Park,"8601 Piney Creek Bnd., Austin, Texas 78745",Austin,Travis,TX,8601,Piney Creek,Bnd,78745,Other,Street Address,4.20313079,GIS Value,1956,Open,Developed,Developed,Neighborhood,0-5 miles,5,2;3;5;8,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,183087.6449,2718.241302
21,21,206,395,Oakwood Annex Cemetery,"1509 E MLK Jr Blvd., Austin, Texas 78702",Austin,Travis,TX,1509,E MLK Jr,Blvd.,78702,Other,Street Address,18.57673301,GIS Value,1974,Open_Restricted,Cemetery,Developed,Cemetery,0-25 miles,1,Citywide,Special Use Area,City of Austin,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,809199.2533,3961.164295
23,23,212,251,Red Bud Isle,"3401 Red Bud Trl., Austin, Texas 78746",Austin,Travis,TX,3401,Red Bud,Trl,78746,Other,Street Address,17.49307899,GIS Value,1978,Open,Cemetery,Developed,Special,0-25 miles,8,Citywide,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,761995.4727,7974.35477
30,30,113,179,Houston School Park,"5506 Tallow Tree Dr., Austin, Texas 78744",Austin,Travis,TX,5506,Tallow Tree,Dr.,78744,Other,Street Address,8.56149739,GIS Value,1977,Open,Undeveloped,Developed,School,0-5 miles,2,1;2;3;5;8;9,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,372937.3345,2447.507588
134,134,143,394,Oakwood Cemetery,"1012 E 16th St., Austin, Texas 78702",Austin,Travis,TX,1012,E 16th,St,78702,Other,Street Address,39.32190897,GIS Value,1979,Open_Restricted,Cemetery,Developed,Cemetery,0-25 miles,1,Citywide,Special Use Area,City of Austin,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,1712855.503,5247.929363
24,24,213,299,Shoal Beach at Town Lake Metro Park,"707 W Cesar Chavez St., Austin, Texas 78701",Austin,Travis,TX,707,W Cesar Chavez,St,78701,Other,Street Address,15.11517868,GIS Value,1956,Open,Developed,Developed,Metropolitan,0-25 miles,9,Citywide,Corridor,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,658314.8296,12036.05019
25,25,215,387,Springwoods Neighborhood Park,"9117 Anderson Mill Rd., Austin, Texas 78729",Austin,Williamson,TX,9117,Anderson Mill,Rd,78729,Other,Street Address,12.45145586,GIS Value,1944,Open,Undeveloped,Developed,Neighborhood,0-5 miles,6,6;7;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,542383.2475,2970.882179
26,26,219,255,Republic Square,"422 Guadalupe St., Austin, Texas 78701",Austin,Travis,TX,422,Guadalupe,St,78701,Other,Street Address,1.74910215,GIS Value,2013,Open,Developed,Developed,Special,0-25 miles,9,Citywide,Passive Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,76190.58508,1104.118038
31,31,153,297,Longhorn Shores at Town Lake Metro Park,"60 S Pleasant Valley Rd., Austin, Texas 78741",Austin,Travis,TX,60,S Pleasant Valley,Rd.,78741,Other,Street Address,10.63606158,GIS Value,2003,Open,Developed,Developed,Metropolitan,0-25 miles,3,Citywide,Corridor,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,463304.9894,5889.710536
32,32,247,273,South Austin Tennis Center,"1008 Cumberland Rd., Austin, Texas 78704",Austin,Travis,TX,1008,Cumberland,Rd,78704,Other,Street Address,12.02104172,GIS Value,1980,Open,Undeveloped,Developed,Special,0-25 miles,3,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,523634.4827,3396.278625
33,33,243,270,South Austin Neighborhood Park,"1100 Cumberland Rd., Austin, Texas 78704",Austin,Travis,TX,1100,Cumberland,Rd,78704,Other,Street Address,11.78783965,GIS Value,1964,Open,Undeveloped,Developed,Neighborhood,0-5 miles,3,1;2;3;5;8;9;10,Active Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,513476.2413,2943.329873
34,34,255,401,Tannehill Creek Greenbelt,"2403 E 51st St., Austin, Texas 78723",Austin,Travis,TX,2403,E 51st,St,78723,Other,Street Address,4.58490029,GIS Value,2012,Planned,Undeveloped,Undeveloped,Greenbelt,0-5 miles,9,1;2;3;4;5;7;8;9;10,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,199717.4577,2369.410897
68,68,146,227,Odom School Park,"1001 Sahara Ave., Austin, Texas 78745",Austin,Travis,TX,1001,Sahara,Ave,78745,Other,Street Address,4.25245639,GIS Value,1976,Open,Cemetery,Developed,School,0-5 miles,2,2;3;5;8;9;10,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,185236.2593,1885.57087
144,144,19,187,Kennemer Pool,"1031 Payton Gin Rd., Austin, Texas 78758",Austin,Travis,TX,1031,Payton Gin,Rd.,78758,Other,Street Address,1.0459874,GIS Value,1974,Open,Cemetery,Developed,Special,0-25 miles,4,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,45563.0289,960.0332995
69,69,264,409,Westcreek Pocket Park,"6044 Westcreek Dr., Austin, Texas 78749",Austin,Travis,TX,6044,Westcreek,Dr.,78749,Other,Street Address,1.29318725,GIS Value,2014,Planned,Undeveloped,Undeveloped,Pocket,0-0.5 miles,8,8,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,56313.27976,1103.560026
71,71,56,133,Caswell Tennis Center,"2312 Shoal Creek Blvd., Austin, Texas 78705",Austin,Travis,TX,2312,Shoal Creek,Blvd.,78705,Other,Street Address,3.10009104,GIS Value,1931,Open_Fee,Tennis Fees,Developed,Special,0-25 miles,9,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,135039.4255,1509.723801
72,72,78,406,Dry Creek Greenbelt,"6100 Constellation Cir., Austn, Texas 78617",Austin,Travis,TX,6100,Constellation,Cir.,78617,Other,Street Address,7.7835535,GIS Value,2013,Open,Undeveloped,Undeveloped,Greenbelt,0-5 miles,2,2;3,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,338978.3546,3202.97767
73,73,5,119,Beverly S. Sheffield Northwest District Park,"7000 Ardath St., Austin, Texas 78757",Austin,Travis,TX,7000,Ardath,St.,78757,Other,Street Address,31.54958373,GIS Value,1955,Open,Developed,Developed,District,0-5 miles,7,1;4;6;7;8;9;10,Mixed-use Park,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,1,hardya,2.02E+13,1374291.308,6160.496981
105,105,74,154,Downs Mabson Fields,"2816 E 12th St., Austin, Texas 78702",Austin,Travis,TX,2816,E 12th,St.,78702,Other,Street Address,10.1413247,GIS Value,1955,Open,Undeveloped,Developed,Special,0-25 miles,1,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,441754.3368,2860.43396
75,75,22,399,Bolm Road District Park,"6700 Bolm Rd., Austin, Texas 78725",Austin,Travis,TX,6700,Bolm,Rd.,78725,Other,Street Address,67.09976873,GIS Value,2013,Planned,Undeveloped,Undeveloped,District,0-5 miles,3,1;2;3;4;5;9,Natural Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,2922854.235,8437.955392
76,76,263,302,Umlauf Sculpture Garden,"605 Robert E Lee Rd., Austin, Texas 78704",Austin,Travis,TX,605,Robert E Lee,Rd,78704,Other,Street Address,7.66627234,GIS Value,1985,Open_Fee,Art Garden,Developed,Special,0-25 miles,5,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,333941.4872,2838.146398
78,78,283,318,Wooldridge School Park,"1410 Norseman Ter., Austin, Texas 78758",Austin,Travis,TX,1410,Norseman,Ter,78758,Other,Street Address,9.06898355,GIS Value,1944,Open,Developed,Developed,School,0-5 miles,4,1;4;6;7;9;10,Active Park,Austin Independent School District,School,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,395043.3432,2594.804933
79,79,284,319,Wooldridge Square,"900 Guadalupe St., Austin, Texas 78701",Austin,Travis,TX,900,Guadalupe,St,78701,Other,Street Address,1.73260663,GIS Value,1975,Open,Developed,Developed,Special,0-25 miles,9,Citywide,Special Use Area,City of Austin Parks and Recreation,Municipal,City of Austin Parks and Recreation,Municipal,0,hardya,2.02E+13,75472.04306,1098.649344
